# Experimental deuteration fractions
# Res 0.167 1 10
1 0.055005 0.024522 0.430029
2 0.440742 0.294542 0.678935
3 0.527245 0.028891 0.013345
4 0.407515 0.216951 0.438261
5 0.040798 0.745392 0.441591
6 0.389614 0.441934 0.750955
7 0.503816 0.539160 0.091599
8 0.333475 0.104574 0.495223
9 0.140641 0.653540 0.378259
10 0.489640 0.276661 0.413606
11 0.167389 0.410208 0.096497
12 0.091899 0.468132 0.062368
13 0.144973 0.253297 0.055459
14 0.165453 0.449661 0.711390
15 0.743600 0.044969 0.122481
16 0.315356 0.470000 0.172833
17 0.013738 0.229335 0.735367
18 0.346344 0.450348 0.566804
19 0.025522 0.372700 0.073723
20 0.455075 0.460982 0.188888
21 0.026026 0.269868 0.645072
22 0.559446 0.278642 0.629351
23 0.690329 0.532122 0.342685
24 0.355067 0.149407 0.710847
25 0.195939 0.001914 0.440733
26 0.356198 0.413847 0.521245
27 0.457509 0.307925 0.108294
28 0.484465 0.407332 0.688734
29 0.717993 0.499931 0.402990
30 0.194170 0.028079 0.013828
31 0.757670 0.696468 0.391559
32 0.321345 0.506618 0.670408
33 0.781197 0.297114 0.205681
34 0.323503 0.323690 0.122730
35 0.644305 0.206034 0.036902
36 0.124343 0.524249 0.221614
37 0.574827 0.645587 0.430528
38 0.455990 0.244495 0.531957
39 0.470220 0.668148 0.446185
40 0.264687 0.004257 0.459283
41 0.046579 0.560380 0.268602
42 0.531033 0.113283 0.546088
43 0.752176 0.794035 0.389197
44 0.311528 0.798215 0.775200
45 0.292976 0.562183 0.764491
46 0.663512 0.002380 0.739161
47 0.167041 0.373424 0.172866
48 0.603162 0.039448 0.437311
49 0.752021 0.194993 0.362930
50 0.761945 0.420793 0.688722
51 0.500940 0.446162 0.064543
52 0.590008 0.199534 0.382448
53 0.441965 0.440491 0.469522
54 0.558663 0.650450 0.662822
55 0.040670 0.518140 0.129279
56 0.211806 0.055537 0.364620
57 0.537395 0.011169 0.364169
58 0.796823 0.336376 0.169893
